################################### RECORDED ###################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -i1:20 -s CmdZ --procfilt fIsis -f ./  Subsys: CmdZ
################################################################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -p localhost-20150706-065018.raw.gz -P -f plot 
# Host:       localhost  DaemonOpts: 
# Booted:     1431591593.67 [20150514-09:19:53]
# Distro:     CentOS Linux release 7.1.1503 (Core)     Platform: 
# Date:       20150706-065018  Secs: 1436161818 TZ: +0100
# SubSys:     CmdZ Options:  Interval: 1:20 NumCPUs: 48 [HYPER] NumBud: 0 Flags: ix
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1200.000 Cores: 12  Siblings: 24 Nodes: 2
# Kernel:     3.10.0-229.el7.x86_64  Memory: 131754524  Swap: 
# NumDisks:   0 DiskNames: 
# NumNets:    3 NetNames: enp1s0f0:1000 enp1s0f1:10000 lo:10000
# SCSI:       DA:0:02:00:00 DA:0:02:01:00
################################################################################
#Date Time [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20150706 08:55:54 131754524 63082488 68672036 20952 0 58135972 1272140 37036 2737076 3137776 0 4194300 116392 4077908 0 0 96 0 0 1097588 0 0 173 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:55 131754524 63082612 68671912 20952 0 58135972 1272140 37036 2737076 3137776 0 4194300 116392 4077908 0 0 96 0 0 1097588 0 0 294 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:56 131754524 63082488 68672036 20952 0 58136016 1272144 37036 2737072 3137776 0 4194300 116392 4077908 0 0 140 0 0 1097632 0 0 466 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:57 131754524 63082612 68671912 20952 0 58136044 1272144 37036 2737076 3137776 0 4194300 116392 4077908 0 0 168 0 0 1097660 0 0 1956 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:58 131754524 63082488 68672036 20952 0 58136076 1272144 37036 2737072 3137776 0 4194300 116392 4077908 0 0 200 0 0 1097692 0 0 118 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:59 131754524 63082612 68671912 20952 0 58136076 1272144 37036 2737072 3137776 0 4194300 116392 4077908 0 0 200 0 0 1097692 0 0 1183 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:00 131754524 63082488 68672036 20952 0 58136132 1272148 37036 2737076 3137776 0 4194300 116392 4077908 0 0 256 0 0 1097748 0 0 1394 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:01 131754524 63082488 68672036 20952 0 58136168 1272148 37036 2737068 3137776 0 4194300 116392 4077908 0 0 292 0 0 1097784 0 0 2373 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:02 131754524 63082924 68671600 20952 0 58136168 1272148 37036 2721140 3137776 0 4194300 116392 4077908 0 0 292 0 0 1097784 0 0 2441 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:03 131754524 63082628 68671896 20952 0 58136212 1272148 37036 2737072 3137776 0 4194300 116392 4077908 0 0 336 0 0 1097828 0 0 165 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:04 131754524 63082752 68671772 20952 0 58136244 1272148 37036 2737072 3137776 0 4194300 116392 4077908 0 0 368 0 0 1097860 0 0 223 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:05 131754524 63083136 68671388 20952 0 58136244 1272148 37036 2737072 3137776 0 4194300 116392 4077908 0 0 368 0 0 1097860 0 0 468 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:06 131754524 63082888 68671636 20952 0 58136376 1272152 37036 2737072 3137776 0 4194300 116392 4077908 0 0 500 0 0 1097992 0 0 312 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:07 131754524 63083000 68671524 20952 0 58136456 1272156 37036 2737072 3137776 0 4194300 116392 4077908 0 0 580 0 0 1098072 0 0 376 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:08 131754524 63083012 68671512 20952 0 58136520 1272156 37036 2737072 3137776 0 4194300 116392 4077908 0 0 644 0 0 1098136 0 0 339 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:09 131754524 63083000 68671524 20952 0 58136604 1272160 37036 2737076 3137776 0 4194300 116392 4077908 0 0 728 0 0 1098220 0 0 191 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:10 131754524 63083000 68671524 20952 0 58136652 1272160 37036 2737068 3137776 0 4194300 116392 4077908 0 0 776 0 0 1098268 0 0 168 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:11 131754524 63083124 68671400 20952 0 58136688 1272160 37036 2737068 3137776 0 4194300 116392 4077908 0 0 812 0 0 1098304 0 0 155 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:12 131754524 63083188 68671336 20952 0 58136732 1272160 37036 2721144 3137776 0 4194300 116392 4077908 0 0 856 0 0 1098348 0 0 128 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:13 131754524 63083140 68671384 20952 0 58136768 1272164 37036 2737076 3137776 0 4194300 116392 4077908 0 0 892 0 0 1098384 0 0 228 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:14 131754524 63083388 68671136 20952 0 58136804 1272164 37036 2737076 3137776 0 4194300 116392 4077908 0 0 928 0 0 1098420 0 0 176 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:15 131754524 63083264 68671260 20952 0 58136844 1272164 37036 2737072 3137776 0 4194300 116392 4077908 0 0 968 0 0 1098460 0 0 123 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:16 131754524 63083388 68671136 20952 0 58136880 1272164 37036 2737060 3137776 0 4194300 116392 4077908 0 0 1004 0 0 1098496 0 0 130 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:56:17 131754524 60494712 71259812 20952 0 58137648 1272088 35432 187200 543760 0 4194300 116388 4077912 0 0 1768 0 0 1098532 4 0 13661 0 0 0 0 190792 1 0 1 4 0 4 0 0 0
20150706 08:56:18 131754524 60768844 70985680 20952 0 58474508 1280316 35028 76072 471548 0 4194300 116156 4078144 57344 0 339156 0 0 1076616 184 0 33638 4 0 0 0 190792 6 0 6 184 0 184 9 0 9
20150706 08:56:19 131754524 61465300 70289224 20952 0 59154468 1298016 35168 75568 470924 0 4194300 115908 4078392 0 0 1019256 0 0 1033708 0 1048 8992 0 0 0 0 190784 0 5 5 0 1048 1048 0 0 0
20150706 08:56:20 131754524 61535244 70219280 20952 0 59197820 1298900 35260 89004 513316 0 4194300 115808 4078492 0 0 1060284 0 0 1033220 2032 0 12893 21 0 0 0 190784 34 0 34 2032 0 2032 0 0 0
